#,公式应用,类型,商品,建仓时间,建仓价格,平仓时间,平仓价格,数量,最佳平仓价,最佳平仓时间,最差平仓价,最差平仓时间,浮动盈利,浮动亏损,建仓效率,平仓效率,总效率
108,Ama_CL,多头,880575,2017/5/16 10:30,2169,2017/5/18 14:00,2167,1,2221,2017/5/17 10:30,2139,2017/5/16 11:30,4517.57,-3645.36,60.41%,27.64%,-11.95%
109,Ama_CL,多头,880520,2017/5/17 11:30,1294,2017/5/18 15:00,1274,1,1294,2017/5/17 14:00,1274,2017/5/17 11:30,0,-2410.88,-22.74%,-24.98%,-147.72%
110,Ama_CL,多头,880456,2017/5/15 14:00,2581,2017/5/19 10:30,2628,1,2706,2017/5/17 10:30,2550,2017/5/16 10:30,11644.09,-3910.97,79.00%,47.23%,26.23%
111,Ama_CL,多头,880577,2017/5/16 14:00,3389,2017/5/19 10:30,3397,1,3452,2017/5/17 10:30,3368,2017/5/18 11:30,5168.49,-3176.13,71.12%,24.94%,-3.93%
112,Ama_CL,多头,880926,2017/5/16 15:00,1231,2017/5/19 11:30,1248,1,1263,2017/5/17 10:30,1231,2017/5/16 15:00,2757.04,-393.92,100.00%,47.27%,47.27%
113,Ama_CL,多头,880437,2017/5/18 10:30,1184,2017/5/19 14:00,1173,1,1189,2017/5/18 11:30,1172,2017/5/18 15:00,136.29,-1546,10.43%,-23.43%,-113.00%
114,Ama_CL,多头,880473,2017/4/27 10:30,1327,2017/5/19 14:00,1400,1,1467,2017/5/15 10:30,1323,2017/5/5 11:30,13598.89,-825,97.13%,51.89%,49.02%
115,Ama_CL,多头,880421,2017/5/17 14:00,1747,2017/5/19 15:00,1728,1,1747,2017/5/17 14:00,1725,2017/5/19 14:00,0,-2788.47,-33.33%,-13.08%,-146.41%
116,Ama_CL,多头,880928,2017/5/17 14:00,1318,2017/5/19 15:00,1306,1,1318,2017/5/17 14:00,1305,2017/5/19 14:00,0,-1709.7,-48.46%,-37.66%,-186.12%
117,Ama_CL,多头,880533,2017/5/18 11:30,1438,2017/5/19 15:00,1421,1,1439,2017/5/18 14:00,1419,2017/5/19 14:00,0,-2396.06,-24.03%,-13.75%,-137.78%
